ID,RATE,CREATED,REVIEW
subr*******,5,2024-10-03,"한달사용기8월25일(일) 주문~27일(화) 배송완료.
원체 이 제품을 선호 하는지라 잘 챙겨 먹고 
있습니다. 가끔 방송 틀면 타사 제품들이 많이 보이던대 저는 이 제품만 고수 합니다. 찾는 
수요가 많으닌까 여기 저기서 만들어 내겠죠??

저는 식사때 350ml 그라스에 탄산수랑 같이 
마십니다. 아주 상꽤하고 뒷맛이 개운 합니다.
글고, TV 에서 연어를 찍어 먹갈래 나도...
정말 맛있었습니다 ㅎ ㅎ더보기"
shin********,5,2024-10-04,"레몬의 효능을 검색해 보니 면역력강화, 항산화작용, 소화건강개선, 체중관리, 피부건강 등등 좋은점이 많네요.
부작용은 치아부식, 위장 장애 등이 있어서
하루에 1개정도가 적당하다고 하네요.
평소에 헬스를 하면서 하루에 한포씩 두달을
먹어봤어요.
운동을 안 하면 변비때문에 체중이 증가하는데
래몬즙 먹으면서 변비도 개선되고
두달동안 5키로를 감량했어요.
몸에 좋다고 여러 개를 먹었더니
신물이 넘어오더라고요.
요즘 유산소운동을 게을리 해서 
몸이 둔해지는 것같아 재 구매했네요.더보기"
shsh****,5,2024-10-12,요즘 계속 먹고있는 레몬즙입니다. 첨엔 홈쇼핑에서 샀는데 지인추천으로 여기서 저렴하게 샀네요~  맹물먹기 힘든데 이건 먹기도편하고 좋아요
jils****,5,2024-10-14,요즘 핫한 레몬즙 ^^ 우리 가족 식사때 꼭 주구요 운동할때 맹물만 마셨는데 500미리에 한포 넣으니 딱 좋아서 운동할때 꼭 챙겨요 혹시 몰라서 3통만 샀는데 대량으로 시켜야겠네요 여기가 젤 싸요
irom****,5,2024-10-12,"엄마가 잘 드셔서 또 주문했습니다~
저도 먹어보니 액이 진해서 물통(500ML)에 한봉지. 넣어 마시면 좋더라구요. 물 양을 더. 많이 해서 타 마셔도 진해서 크게 다르지  않더라구요~"
kkkp***,5,2024-10-01,"한달사용기레몬디톡스가 좋다고 해서 알아보던 차에 가격도 괜찮아서 구매하게 되었어요.
일단 너무 맛있거나 하진 않지만 건강 생각해서 먹을만 한 정도에요. 아직은 이렇다할 효과를 잘 모르겠지만 3개월이상 꾸준히 먹어보려합니다. 잘 먹을게요. 많이 파세요"
subr*******,5,2024-09-01,"8월25일(일) 주문~27일(화) 배송완료.
3번째 구매 했네요. 은근 중독성 있네요.
TV에서 하는대로 따라서 생선먹을때 찍먹하니 맛이 달라지거라구요! 깜짝 놀랬지 뭡니까?
저녁식사때 350ml컵에 한포+탄산수 담는대...

처음엔 쫌...익숙해지니 너무 좋습니다.
개운하고 뭔가 쓸려 내려가는 기분으로 아주
좋습니다. 1일1레몬 하고 있더라구요! 이렇게
잘 나오니, 챙겨 먹기만 하면 되어요~~ㅎ ㅎ더보기"
gaon****,5,2024-10-14,"배송 빨라 좋네요
텀블러에 타서 먹고 있는데 
기분도 좋아지는 상큼함이 좋습니다"
love******,5,2024-10-10,한달사용기신거 못먹어서 맛보고 사려했는데 그렇게 많이 시건아니라서 좋네요 아침에 텀블러에 한잔 타 먹으니 좋아요
jaar*****,5,2024-10-11,껍질도 같이 짜서 그런지 너무 시지 않아 먹기 부담스럽지 않아서 좋았고 신맛을 좋아하는 큰아이가 맛있다며 잘 챙겨 먹고 있습니다
